Anio,Pagina,Tipo,SS/SN,Proyecto,codigo UCAP,Descripcion UCAP,Colocar,Quitar,Descripcion Normalizada,Fuente,Clave Consolidacion
2026,145,SS,1361972,Vía y Sendero Cl 90 Cr 52 - 1,5000263,LUM LED 48W ASIMÉTRICA 4000K HORIZONTAL,3,,LUM LED 48W ASIMETRICA 4000K HORIZONTAL,"UCAP EN VALIDACION DE APROBACION_2026.pdf, pagina 145",5000263
2026,145,SS,1361972,Vía y Sendero Cl 90 Cr 52 - 1,5200419,UCAP POSTE PRFV 8M (ENTERRAR),2,,POSTE PRFV 8M ENTERRAR,"UCAP EN VALIDACION DE APROBACION_2026.pdf, pagina 145",5200419
2026,145,SS,1361972,Vía y Sendero Cl 90 Cr 52 - 1,5200464,UCAP CABLE CU ENCAUCHETADO 3X14 CU,9,,CABLE CU ENCAUCHETADO 3X14 CU,"UCAP EN VALIDACION DE APROBACION_2026.pdf, pagina 145",5200464
2026,146,SS,1362071,Sendero Cr 44 Cl 109 - 23 Int 401,5200231,"UCAP BRAZO 1"" - 0.4M - 0°",1,,BRAZO 1 - 0.4M - 0°,"UCAP EN VALIDACION DE APROBACION_2026.pdf, pagina 146",5200231
2026,146,SS,1362071,Sendero Cr 44 Cl 109 - 23 Int 401,5200270,LUM LED (KORELED) 44W,1,1,LUM LED KORELED 44W,"UCAP EN VALIDACION DE APROBACION_2026.pdf, pagina 146",5200270
2026,146,SS,1362071,Sendero Cr 44 Cl 109 - 23 Int 401,5200232,"UCAP BRAZO 1"" - 1.5M - 52°/0°",,1,BRAZO 1 - 1.5M - 52°/0°,"UCAP EN VALIDACION DE APROBACION_2026.pdf, pagina 146",5200232
2026,147,SS,1366992,BOMBONA #2 CR 9 F CL 44 B - 57,5200231,"UCAP BRAZO 1"" - 0.4M - 0°",1,,BRAZO 1 - 0.4M - 0°,"UCAP EN VALIDACION DE APROBACION_2026.pdf, pagina 147",5200231
2026,147,SS,1366992,BOMBONA #2 CR 9 F CL 44 B - 57,5000263,LUM LED 48W ASIMÉTRICA 4000K HORIZONTAL,1,,LUM LED 48W ASIMETRICA 4000K HORIZONTAL,"UCAP EN VALIDACION DE APROBACION_2026.pdf, pagina 147",5000263
2026,148,SS,1367176,Sendero Peatonal CL 48 DD CR 99 E -39,5200231,"UCAP BRAZO 1"" - 0.4M - 0°",1,,BRAZO 1 - 0.4M - 0°,"UCAP EN VALIDACION DE APROBACION_2026.pdf, pagina 148",5200231
2026,148,SS,1367176,Sendero Peatonal CL 48 DD CR 99 E -39,5000263,LUM LED 48W ASIMÉTRICA 4000K HORIZONTAL,1,,LUM LED 48W ASIMETRICA 4000K HORIZONTAL,"UCAP EN VALIDACION DE APROBACION_2026.pdf, pagina 148",5000263
2026,149,SS,1301849,PUENTE AV GUAYABAL x CALLE 10 Carrera 52 x Calle 10,5200235,"UCAP BRAZO 1 1/2"" - 1.5M - 52°/0°",12,12,BRAZO 1 1/2 - 1.5M - 52°/0°,"UCAP EN VALIDACION DE APROBACION_2026.pdf, pagina 149",5200235
2026,149,SS,1301849,PUENTE AV GUAYABAL x CALLE 10 Carrera 52 x Calle 10,5200272,LUM LED (SEPIALED II) 128W,12,12,LUM LED SEPIALED II 128W,"UCAP EN VALIDACION DE APROBACION_2026.pdf, pagina 149",5200272
2026,149,SS,1301849,PUENTE AV GUAYABAL x CALLE 10 Carrera 52 x Calle 10,5200395,"UCAP POSTE FIBRA 10,2 ANCLAJE",6,,POSTE FIBRA 10 2 ANCLAJE,"UCAP EN VALIDACION DE APROBACION_2026.pdf, pagina 149",5200395
2026,149,SS,1301849,PUENTE AV GUAYABAL x CALLE 10 Carrera 52 x Calle 10,5200464,UCAP CABLE CU ENCAUCHETADO 3X14 CU,229,,CABLE CU ENCAUCHETADO 3X14 CU,"UCAP EN VALIDACION DE APROBACION_2026.pdf, pagina 149",5200464
2026,149,SS,1301849,PUENTE AV GUAYABAL x CALLE 10 Carrera 52 x Calle 10,5200316,UCAP POSTE METÁLICO REDONDO 12M,,6,POSTE METALICO REDONDO 12M,"UCAP EN VALIDACION DE APROBACION_2026.pdf, pagina 149",5200316
2026,150,SS,1321669,SMAP-CIV-067-26 CR 86 A CL 37 -75_ Sendero Peatonal,5200231,"UCAP BRAZO 1"" - 0.4M - 0°",2,,BRAZO 1 - 0.4M - 0°,"UCAP EN VALIDACION DE APROBACION_2026.pdf, pagina 150",5200231
2026,150,SS,1321669,SMAP-CIV-067-26 CR 86 A CL 37 -75_ Sendero Peatonal,5000263,LUM LED 48W ASIMÉTRICA 4000K HORIZONTAL,2,,LUM LED 48W ASIMETRICA 4000K HORIZONTAL,"UCAP EN VALIDACION DE APROBACION_2026.pdf, pagina 150",5000263
